Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,9,09:15 - 09:29,Cashier,77.51,16,4.84,16,4.84,16,4.84,1.0,1.0
,,9,09:30 - 09:44,Cashier,58.42,6,9.74,6,9.74,6,9.74,1.0,1.0
,,9,09:45 - 09:59,Cashier,86.41,13,6.65,13,6.65,13,6.65,1.0,1.0
,,9,10:00 - 10:14,Cashier,50.25,7,7.18,7,7.18,7,7.18,1.0,1.0
,,9,10:15 - 10:29,Cashier,82.91,10,8.29,10,8.29,10,8.29,1.0,1.0
,,9,10:30 - 10:44,Cashier,68.42,11,6.22,11,6.22,11,6.22,1.0,1.0
,,9,10:45 - 10:59,Cashier,57.11,9,6.35,9,6.35,9,6.35,1.0,1.0
,,9,11:00 - 11:14,Cashier,51.27,9,5.7,9,5.7,9,5.7,1.0,1.0
,,9,11:15 - 11:29,Cashier,123.33,15,8.22,15,8.22,15,8.22,1.0,1.0
,,9,11:30 - 11:44,Cashier,152.28,18,8.46,18,8.46,18,8.46,1.0,1.0
,,9,11:45 - 11:59,Cashier,82.26,11,7.48,11,7.48,11,7.48,1.0,1.0
,,9,12:00 - 12:14,Cashier,64.35,9,7.15,9,7.15,9,7.15,1.0,1.0
,,9,12:15 - 12:29,Cashier,137.69,17,8.1,17,8.1,17,8.1,1.0,1.0
,,9,12:30 - 12:44,Cashier,93.5,12,7.79,12,7.79,12,7.79,1.0,1.0
,,9,12:45 - 12:59,Cashier,91.02,14,6.5,14,6.5,14,6.5,1.0,1.0
,,9,13:00 - 13:14,Cashier,40.67,6,6.78,6,6.78,6,6.78,1.0,1.0
,,9,13:15 - 13:29,Cashier,124.66,18,6.93,18,6.93,18,6.93,1.0,1.0
,,9,13:30 - 13:44,Cashier,138.03,20,6.9,20,6.9,20,6.9,1.0,1.0
,,9,13:45 - 13:59,Cashier,16.89,4,4.22,4,4.22,4,4.22,1.0,1.0
,,9,14:00 - 14:14,Cashier,49.79,7,7.11,7,7.11,7,7.11,1.0,1.0
,,9,14:15 - 14:29,Cashier,41.89,9,4.65,9,4.65,9,4.65,1.0,1.0
,,9,14:30 - 14:44,Cashier,61.45,7,8.78,7,8.78,7,8.78,1.0,1.0
,,9,14:45 - 14:59,Cashier,29.58,5,5.92,5,5.92,5,5.92,1.0,1.0
,,9,15:00 - 15:14,Cashier,59.46,8,7.43,8,7.43,8,7.43,1.0,1.0
,,9,15:15 - 15:29,Cashier,87.19,14,6.23,14,6.23,14,6.23,1.0,1.0
,,9,15:30 - 15:44,Cashier,60.82,10,6.08,10,6.08,10,6.08,1.0,1.0
,,9,15:45 - 15:59,Cashier,48.45,10,4.84,10,4.84,10,4.84,1.0,1.0
,,9,16:00 - 16:14,Cashier,54.75,11,4.98,11,4.98,11,4.98,1.0,1.0
,,9,16:15 - 16:29,Cashier,31.54,8,3.94,8,3.94,8,3.94,1.0,1.0
,,9,16:30 - 16:44,Cashier,41.17,9,4.57,9,4.57,9,4.57,1.0,1.0
,,9,16:45 - 16:59,Cashier,33.47,7,4.78,7,4.78,7,4.78,1.0,1.0
,,9,17:00 - 17:14,Cashier,2.59,1,2.59,1,2.59,1,2.59,1.0,1.0
,,9,---,---,2461.01,373,6.6,373,6.6,373,6.6,1.0,1.0
,,10,08:15 - 08:29,Cashier,5.25,1,5.25,1,5.25,1,5.25,1.0,1.0
,,10,08:30 - 08:44,Cashier,64.07,11,5.82,11,5.82,11,5.82,1.0,1.0
,,10,08:45 - 08:59,Cashier,38.83,6,6.47,6,6.47,6,6.47,1.0,1.0
,,10,09:00 - 09:14,Cashier,66.17,10,6.62,10,6.62,10,6.62,1.0,1.0
,,10,09:15 - 09:29,Cashier,39.17,5,7.83,5,7.83,5,7.83,1.0,1.0
,,10,09:30 - 09:44,Cashier,65.8,8,8.22,8,8.22,8,8.22,1.0,1.0
,,10,09:45 - 09:59,Cashier,48.21,11,4.38,11,4.38,11,4.38,1.0,1.0
