Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,,13:30 - 13:44,Cashier,34.49,6,5.75,6,5.75,6,5.75,1,1
,,,,13:45 - 13:59,Cashier,13.43,3,4.48,3,4.48,3,4.48,1,1
,,,,14:00 - 14:14,Cashier,51.34,8,6.42,8,6.42,8,6.42,1,1
,,,,14:15 - 14:29,Cashier,26.06,6,4.34,6,4.34,6,4.34,1,1
,,,,14:30 - 14:44,Cashier,14.05,3,4.68,3,4.68,3,4.68,1,1
,,,,14:45 - 14:59,Cashier,21.75,6,3.63,4,5.44,6,3.63,0.67,0.67
,,,,15:00 - 15:14,Cashier,12.8,3,4.27,3,4.27,3,4.27,1,1
,,,,15:15 - 15:29,Cashier,14.65,4,3.66,4,3.66,4,3.66,1,1
,,,15,---,---,705.4,120,5.88,118,5.98,120,5.88,0.98,0.98
,,,16,08:00 - 08:14,Cashier,18.19,4,4.55,4,4.55,4,4.55,1,1
,,,,08:15 - 08:29,Cashier,5.95,2,2.98,2,2.98,2,2.98,1,1
,,,,08:30 - 08:44,Cashier,8.45,2,4.22,2,4.22,2,4.22,1,1
,,,,08:45 - 08:59,Cashier,12.05,3,4.02,3,4.02,3,4.02,1,1
,,,,09:00 - 09:14,Cashier,22.5,4,5.63,4,5.63,4,5.63,1,1
,,,,09:15 - 09:29,Cashier,37.99,7,5.43,7,5.43,7,5.43,1,1
,,,,09:30 - 09:44,Cashier,28.84,5,5.77,5,5.77,5,5.77,1,1
,,,,09:45 - 09:59,Cashier,38.28,5,7.66,5,7.66,5,7.66,1,1
,,,,10:00 - 10:14,Cashier,22.95,5,4.59,5,4.59,5,4.59,1,1
,,,,10:15 - 10:29,Cashier,18.75,3,6.25,3,6.25,3,6.25,1,1
,,,,10:30 - 10:44,Cashier,2.45,1,2.45,1,2.45,1,2.45,1,1
,,,,10:45 - 10:59,Cashier,26.29,4,6.57,4,6.57,4,6.57,1,1
,,,,11:00 - 11:14,Cashier,12,2,6,2,6,2,6,1,1
,,,,11:15 - 11:29,Cashier,11.3,3,3.77,3,3.77,3,3.77,1,1
,,,,11:30 - 11:44,Cashier,8.45,3,2.82,3,2.82,3,2.82,1,1
,,,,11:45 - 11:59,Cashier,26.95,3,8.98,3,8.98,3,8.98,1,1
,,,,12:00 - 12:14,Cashier,24.69,3,8.23,3,8.23,3,8.23,1,1
,,,,12:15 - 12:29,Cashier,27.33,4,6.83,4,6.83,4,6.83,1,1
,,,,12:30 - 12:44,Cashier,42.4,5,8.48,5,8.48,5,8.48,1,1
,,,,12:45 - 12:59,Cashier,34.59,6,5.76,6,5.76,6,5.76,1,1
,,,,13:00 - 13:14,Cashier,41.7,6,6.95,6,6.95,6,6.95,1,1
,,,,13:15 - 13:29,Cashier,6.05,2,3.02,2,3.02,2,3.02,1,1
,,,,13:30 - 13:44,Cashier,24.28,4,6.07,4,6.07,4,6.07,1,1
,,,,13:45 - 13:59,Cashier,20.94,3,6.98,3,6.98,3,6.98,1,1
,,,,14:00 - 14:14,Cashier,43.04,10,4.3,10,4.3,10,4.3,1,1
,,,,14:15 - 14:29,Cashier,11.3,1,11.3,1,11.3,1,11.3,1,1
,,,,14:30 - 14:44,Cashier,15.3,4,3.83,4,3.83,4,3.83,1,1
,,,,14:45 - 14:59,Cashier,6,1,6,1,6,1,6,1,1
,,,,15:00 - 15:14,Cashier,1.05,1,1.05,1,1.05,1,1.05,1,1
,,,,15:15 - 15:29,Cashier,4.25,1,4.25,1,4.25,1,4.25,1,1
,,,16,---,---,604.31,107,5.65,107,5.65,107,5.65,1,1
,,,28,08:00 - 08:14,Cashier,17.4,4,4.35,4,4.35,4,4.35,1,1
,,,,08:15 - 08:29,Cashier,30.35,5,6.07,5,6.07,5,6.07,1,1
,,,,08:30 - 08:44,Cashier,14.24,4,3.56,4,3.56,4,3.56,1,1
,,,,08:45 - 08:59,Cashier,45.81,5,9.16,5,9.16,5,9.16,1,1
,,,,09:00 - 09:14,Cashier,15.95,3,5.32,3,5.32,3,5.32,1,1
,,,,09:15 - 09:29,Cashier,53.62,10,5.36,10,5.36,10,5.36,1,1
,,,,09:30 - 09:44,Cashier,96.31,15,6.42,15,6.42,15,6.42,1,1
,,,,09:45 - 09:59,Cashier,66.39,12,5.53,12,5.53,12,5.53,1,1
,,,,10:00 - 10:14,Cashier,21.84,5,4.37,5,4.37,5,4.37,1,1
,,,,10:15 - 10:29,Cashier,82.56,12,6.88,12,6.88,12,6.88,1,1
,,,,10:30 - 10:44,Cashier,128.33,18,7.13,18,7.13,18,7.13,1,1
,,,,10:45 - 10:59,Cashier,58.39,10,5.84,10,5.84,10,5.84,1,1
,,,,11:00 - 11:14,Cashier,51.56,11,4.69,11,4.69,11,4.69,1,1
,,,,11:15 - 11:29,Cashier,41.47,8,5.18,8,5.18,8,5.18,1,1
,,,,11:30 - 11:44,Cashier,156.61,18,8.7,18,8.7,18,8.7,1,1
,,,,11:45 - 11:59,Cashier,57.77,9,6.42,9,6.42,9,6.42,1,1
,,,,12:00 - 12:14,Cashier,65.09,10,6.51,10,6.51,10,6.51,1,1
,,,,12:15 - 12:29,Cashier,76.07,10,7.61,10,7.61,10,7.61,1,1
,,,,12:30 - 12:44,Cashier,116.7,12,9.72,12,9.72,12,9.72,1,1
,,,,12:45 - 12:59,Cashier,31.48,5,6.3,5,6.3,5,6.3,1,1
,,,,13:00 - 13:14,Cashier,59.4,6,9.9,6,9.9,6,9.9,1,1
,,,,13:15 - 13:29,Cashier,99.38,15,6.63,15,6.63,15,6.63,1,1
,,,,13:30 - 13:44,Cashier,74.68,14,5.33,14,5.33,14,5.33,1,1
,,,,13:45 - 13:59,Cashier,22.49,5,4.5,5,4.5,5,4.5,1,1
,,,,14:00 - 14:14,Cashier,26.39,5,5.28,5,5.28,5,5.28,1,1
